"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ATP6V1C2",43.4703474523292,2.00709344683572,0.30677409201471,6.54257806992215,6.04672510719935e-11,8.42611143688229e-07
"HSPA2",309.34070350654,-1.04298045362039,0.229313512735455,-4.54827297867797,5.40879481295248e-06,0.0190644055206715
"TMEM189",39412.7323466196,-0.162467394888832,0.0364881741862313,-4.45260412482186,8.48350776776607e-06,0.0190644055206715
"TMEM189-UBE2V1",39412.7323466196,-0.162467394888832,0.0364881741862313,-4.45260412482186,8.48350776776607e-06,0.0190644055206715
"UBE2V1",39412.7323466196,-0.162467394888832,0.0364881741862313,-4.45260412482186,8.48350776776607e-06,0.0190644055206715
"SOAT2",70.7113306994289,-0.940087044109136,0.21155269527643,-4.4437488394121,8.84048002915377e-06,0.0190644055206715
"DMGDH",181.431635271466,0.803106037790219,0.181430674341334,4.42651740509601,9.57666585179049e-06,0.0190644055206715
"SGCG",65.4707037638427,1.30650497488302,0.298267969596597,4.38030599346637,1.18512767716389e-05,0.0206434427265985
"EIF4G2",132111.397745891,-0.134743940482891,0.0312858072320358,-4.30687114714807,1.65579997229781e-05,0.0256373029044111
"MLLT10",3972.80167864361,0.169962702285253,0.039765188667456,4.27415807596435,1.91860885766857e-05,0.0267358144316115
"GOLGA6L9",524.327913242264,0.314062743185417,0.0748703390493263,4.1947551884132,2.73166459162306e-05,0.0331380912778237
"RBFOX3",35.8049907357303,1.26301761622239,0.301807786110882,4.18484106224604,2.85365694534542e-05,0.0331380912778237
"TSLP",536.912678310369,0.671609436503379,0.164790522484779,4.07553435948,4.59088026678604e-05,0.0378930617284001
"HIST1H2AD",94.943634561621,-0.770131813376731,0.18963490804255,-4.06112894153396,4.88359886873645e-05,0.0378930617284001
"HIST1H3D",94.943634561621,-0.770131813376731,0.18963490804255,-4.06112894153396,4.88359886873645e-05,0.0378930617284001
"YWHAE",45854.6800042583,-0.185267974966653,0.0457491302779086,-4.04965020845686,5.12942454063011e-05,0.0378930617284001
"TRIB3",17921.3700314726,0.588453291739087,0.146337496950167,4.02120648503013,5.79008222840976e-05,0.0378930617284001
"EFHC1",1758.49082214474,0.270826424634484,0.0673933330124523,4.01859371734061,5.85465224021629e-05,0.0378930617284001
"PAPPA2",1672.11057533589,1.13961080050983,0.283712127895677,4.01678563747853,5.89973439266666e-05,0.0378930617284001
"CNTN1",298.295920979343,-1.36680404155394,0.340868980740825,-4.00976362995369,6.07795598111737e-05,0.0378930617284001
"SIK1",3754.82060057012,0.661339135097196,0.165501123787187,3.99597972487241,6.44272481383499e-05,0.0378930617284001
