gene,count
ATP6V1C2,4
HSPA2,44
TMEM189,1
TMEM189-UBE2V1,0
UBE2V1,18
SOAT2,11
DMGDH,5
SGCG,5
EIF4G2,11
MLLT10,5
GOLGA6L9,0
RBFOX3,49
TSLP,1673
HIST1H2AD,0
HIST1H3D,4
YWHAE,38
TRIB3,84
EFHC1,2
PAPPA2,11
CNTN1,57
SIK1,28
AOC3,174
RTCB,1
EGR2,259
FAM161B,0
NPIPA5,0
KLHDC7B,6
FOS,4369
ANAPC7,5
ARPC3,8
NAP1L4,3
TUBE1,3
XPOT,1
DDR2,68
FANCG,10
VCP,176
NPIPA1,0
NPIPA2,3
NPIPA3,0
SAE1,25
IKBIP,1
RRNAD1,0
ACAD11,4
NPHP3,3
IRF2BPL,6
PPM1E,4
FXYD5,8
NPLOC4,2
GSPT1,3
SIX5,5
FAM20A,3
AKNA,16
XPC,65
SIAH1,19
IFT140,5
ERMARD,0
LYPD1,5
FAAH,412
NSUN4,5
DDIT3,401
CLTCL1,4
INPP5B,4
CUL9,2
CCDC191,0
HSF2BP,4
COTL1,20
MST1,203
CISD1,26
GOLGA6L10,0
ACAP1,12
KCTD11,2
PRPF40B,0
FRS3,1
EREG,105
SYAP1,3
SUCLG1,3
ZBTB25,0
GTPBP2,1
DNAJC8,3
PTAFR,31
UQCR10,1
AARS,46
EXOSC6,1
UBE2L3,44
EPHA1,40
TGIF1,21
KRTCAP3,1
ALDH1L2,2
PSMB2,11
COPE,2723
HOMER3,9
ZNF438,2
SYTL5,2
CH25H,120
ANKRD24,0
ACAD10,2
ALDH2,191
PPIA,95
CEBPG,8
HAPLN1,21
ARHGDIA,9
FAM129A,8
NSMAF,12
FAM98A,1
PCSK4,4
CDC37L1,1
MISP,27
CDC42,883
LRRC56,1
LGMN,28
RBMS3,12
PGAP2,3
PHC1,4
CDC40,0
PRPS1,8
LRRC59,7
CHCHD2,6
ADM2,35
MIOX,10
ACTR3,18
MLX,76
MEIOC,0
AHSA1,5
TMEM143,0
TCEA1,2
MKNK2,23
RUNDC3A,2
RMDN3,4
CFL1,51
PDHA1,42
FBXO25,2
GATAD1,2
UBA1,92
HIST1H4H,1
GOLGA1,0
SCAI,44
KDELC2,1
DTWD1,1
BAK1,393
PARK7,121
PRR19,0
FAM193B,0
ATXN2L,3
PITPNA,2
BHLHE40,85
NDUFAF5,1
LMO4,10
AK9,3
CAMK1D,12
SNRPB,19
ZNF343,1
MZF1,27
PPL,167
DHX57,1
MYPN,2
PTER,20
WDR27,1
ZFP36L1,39
DMD,1041
MRPL12,2
SLC25A10,5
JKAMP,1
ZNF560,2
GTF3C6,0
RAD52,19
SFSWAP,2
MEX3B,11
IRF2BP2,36
MAP3K12,2
OTUD7A,2
IL16,839
MORF4L2,3
PLIN3,22
CARM1,38
CREB3,24
CTSC,86
RAB38,16
CALM1,25
COPS6,2
CYB561D2,2
ANKRA2,3
KRT32,0
GTF2A2,1
PLEKHF1,6
RIOK2,8
YPEL1,2
NIPAL1,6
CELF6,1
HEXA,354
PARP6,5
IDUA,43
PER2,222
SSH2,4
ETF1,9
SIL1,14
CTTNBP2,1
WSB2,2
LSR,106
PPM1J,3
RHOC,87
CHKB,5
CPT1B,76
FAM49B,7
YWHAZ,74
DVL2,40
KCNG1,4
PLXNB2,33
ARPC2,13
SLC25A30,1
CDX1,31
BBC3,84
ZNF93,1
UBE2N,83
JUNB,361
ZNF862,0
KCNAB2,6
DNALI1,6
STK36,4
DND1,20
HARS,61
MTCH2,3
TUBB,25
SESN2,74
SP4,355
ZDHHC1,6
SPATA25,0
DISP1,2
SYBU,1
TSNARE1,1
SLC22A15,1
NUDT2,3
SRPK1,24
UVSSA,2
SP110,49
PCK2,21
GPBP1L1,0
PLA2G6,79
CCDC13,0
HHATL,1
HIGD1A,4
GOLGA8T,0
NME1,42
NME1-NME2,1
NME2,12
DNM1L,159
ARHGEF6,10
MLKL,845
TMEM41B,10
ANGPTL2,146
GOLGA8S,0
FAM155A,2
SURF4,8
DIO2,76
PDE4C,28
KRT81,5
KRT84,2
RNF34,3
CGA,562
SEC23IP,1
PPIL1,1
DENND6B,1
MAP2K3,97
PSAT1,31
DLD,239
NPIPA8,0
MFHAS1,10
DNAH2,1
PPP1CA,8
SUMO2,88
UQCC2,0
PODXL,30
FUT10,1
TTI2,0
C2orf68,0
DHX58,106
SENP7,7
PDZD11,3
SMIM12,0
ARF4,9
TBCB,3
CBLN3,1
YPEL2,1
ZNF333,2
DACT1,4
TIMM22,0
MYH3,14
ZNHIT1,2
TIMM23,7
CFAP53,2
ATP1B3,9
TUBB2A,4
TUBB2B,5
MAST3,7
RBM47,10
ZNF213,2
SFXN1,5
EIF1B,2
STRIP2,2
ANKHD1,5
ANKHD1-EIF4EBP3,0
EIF4EBP3,1
CHADL,0
ELAVL1,180
PATL1,1
RIMS2,3
HSPA8,175
LTA,3742
NFKBIL1,34
FKBP1A,19
SDCBP2,2
ZNF517,0
SLC35B4,0
SPG11,4
SYNGAP1,8
ZBTB9,1
SPATA21,0
HSPA4,55
SNRPA1,5
ADAMTS15,6
CCT8,8
CCT4,6
PPA1,9
CLCN6,3
MRPL27,0
STIP1,36
TBC1D2,7
SLC35B1,1
POLR3K,3
CARF,40
MCAM,176
NTMT1,8
PTPN1,190
MMADHC,1
SCARF1,26
PSMB6,16
TXNDC9,0
SCRG1,5
NPIPA7,0
EIF3B,9
NDUFA1,6
GABPB2,3
MAB21L3,2
NLRP1,618
CASC1,5
STARD3NL,3
HACD1,5
NEK8,6
RAC1,1653
PSMA7,17
LSAMP,7
DDX60,45
SNRPC,7
SETD4,1
YWHAQ,5
PCMTD1,2
CALML6,3
CCDC146,2
G0S2,42
ABCD4,1
PGRMC1,36
TBCA,8
COL9A2,10
TBRG1,3
PSMD1,11
MYH7B,3
ZNF214,0
CASC10,0
GADD45B,111
INO80C,2
TTC25,2
TXN,122
TCP1,49
PGM2,7
CSNK2B,11
LY6G5B,2
ENKD1,0
PMS2,198
RSPH10B,1
TPGS2,1
ARMC10,2
ZMYND15,2
C12orf43,1
ISG15,924
ASNS,29
HIST1H1C,11
DNER,44
COA5,1
WDSUB1,1
AZIN2,2
LPAR3,15
CCNK,5
PPP2R1A,19
PRKAB2,6
SNRPF,4
ZC2HC1A,1
CCL11,1744
