"gene","module"
"A1BG","grey"
"A2M","grey"
"A3GALT2","grey"
"A4GALT","grey"
"AAAS","turquoise"
"AACS","grey"
"AADACL4","grey"
"AADAT","turquoise"
"AAGAB","grey"
"AAK1","turquoise"
"AAMDC","turquoise"
"AAMP","blue"
"AAR2","turquoise"
"AARS","green"
"AARS2","grey"
"AARSD1","grey"
"AASDH","grey"
"AASDHPPT","turquoise"
"AASS","grey"
"AATF","turquoise"
"AATK","grey"
"ABAT","grey"
"ABCA1","yellow"
"ABCA10","grey"
"ABCA2","grey"
"ABCA3","grey"
"ABCA4","grey"
"ABCA5","grey"
"ABCA6","turquoise"
"ABCA7","grey"
"ABCA8","turquoise"
"ABCB1","grey"
"ABCB10","turquoise"
"ABCB11","grey"
"ABCB4","grey"
"ABCB6","turquoise"
"ABCB7","grey"
"ABCB8","grey"
"ABCB9","blue"
"ABCC1","turquoise"
"ABCC10","grey"
"ABCC12","grey"
"ABCC2","turquoise"
"ABCC3","grey"
"ABCC4","turquoise"
"ABCC5","turquoise"
"ABCC6","grey"
"ABCC8","grey"
"ABCC9","grey"
"ABCD1","grey"
"ABCD2","grey"
"ABCD3","turquoise"
"ABCD4","grey"
"ABCE1","blue"
"ABCF1","grey"
"ABCF2","blue"
"ABCF3","grey"
"ABCG2","turquoise"
"ABCG4","grey"
"ABCG5","grey"
"ABHD10","turquoise"
"ABHD11","turquoise"
"ABHD12","grey"
"ABHD13","turquoise"
"ABHD14A","blue"
"ABHD14A-ACY1","blue"
"ABHD14B","turquoise"
"ABHD15","yellow"
"ABHD16A","turquoise"
"ABHD17A","grey"
"ABHD17B","blue"
"ABHD17C","grey"
"ABHD18","grey"
"ABHD2","turquoise"
"ABHD3","turquoise"
"ABHD4","grey"
"ABHD5","grey"
"ABHD6","grey"
"ABHD8","grey"
"ABI1","grey"
"ABI2","grey"
"ABI3","grey"
"ABI3BP","grey"
"ABL1","grey"
"ABL2","blue"
"ABLIM1","blue"
"ABLIM3","grey"
"ABR","grey"
"ABRA","grey"
"ABRACL","grey"
"ABT1","turquoise"
"ABTB1","grey"
"ABTB2","grey"
"ACAA1","grey"
"ACAA2","grey"
"ACACA","grey"
"ACACB","grey"
"ACAD10","grey"
"ACAD11","grey"
"ACAD8","grey"
"ACAD9","grey"
"ACADL","grey"
"ACADM","grey"
"ACADS","grey"
"ACADSB","grey"
"ACADVL","turquoise"
"ACAN","grey"
"ACAP1","turquoise"
"ACAP2","turquoise"
"ACAP3","grey"
"ACAT1","blue"
"ACAT2","grey"
"ACBD3","grey"
"ACBD4","grey"
"ACBD5","turquoise"
"ACBD6","turquoise"
"ACBD7","turquoise"
"ACCS","grey"
"ACD","turquoise"
"ACE","grey"
"ACE2","grey"
"ACER2","turquoise"
"ACER3","turquoise"
"ACHE","turquoise"
"ACIN1","turquoise"
"ACKR2","grey"
"ACKR3","grey"
"ACKR4","turquoise"
"ACLY","grey"
"ACO1","grey"
"ACO2","brown"
"ACOT1","grey"
"ACOT11","turquoise"
"ACOT13","grey"
"ACOT2","grey"
"ACOT4","turquoise"
"ACOT7","grey"
"ACOT8","grey"
"ACOT9","grey"
"ACOX1","grey"
"ACOX2","grey"
"ACOX3","grey"
"ACP1","grey"
"ACP2","grey"
"ACP5","grey"
"ACP6","grey"
"ACSF2","grey"
"ACSF3","grey"
"ACSL1","grey"
"ACSL3","grey"
"ACSL4","grey"
"ACSL5","grey"
"ACSL6","grey"
"ACSM1","grey"
"ACSM3","grey"
"ACSM5","grey"
"ACSM6","grey"
"ACSS1","grey"
"ACSS2","grey"
"ACSS3","grey"
"ACTA2","grey"
"ACTB","turquoise"
"ACTC1","blue"
"ACTG1","turquoise"
"ACTG2","grey"
"ACTL10","grey"
"ACTL6A","turquoise"
"ACTL7A","grey"
"ACTN1","turquoise"
"ACTN4","grey"
"ACTR10","blue"
"ACTR1A","grey"
"ACTR1B","grey"
"ACTR2","grey"
"ACTR3","grey"
"ACTR3B","turquoise"
"ACTR3C","grey"
"ACTR5","turquoise"
"ACTR6","grey"
"ACTR8","grey"
"ACTRT3","turquoise"
"ACVR1","grey"
"ACVR1B","grey"
"ACVR2A","turquoise"
"ACVR2B","grey"
"ACVRL1","turquoise"
"ACY1","blue"
"ACY3","grey"
"ACYP1","grey"
"ACYP2","blue"
"ADA","grey"
"ADAL","turquoise"
"ADAM10","turquoise"
"ADAM11","grey"
